di 	gli 	gal 	gos3 	 gos4 
0.428704 	0.016581 	0.009573 	0.011730 	 -0.002337 
0.421088 	0.036149 	0.022727 	0.029456 	 -0.000594 
0.441673 	0.032714 	0.018938 	0.038506 	 -0.001140 
0.417330 	0.054590 	0.033197 	0.053676 	 0.000721 
0.429346 	0.053296 	0.032489 	0.052711 	 0.000134 
0.418602 	0.060481 	0.037461 	0.057358 	 0.000942 
0.414787 	0.058106 	0.035900 	0.056251 	 0.000965 
0.428041 	0.050660 	0.031044 	0.049604 	 0.000047 
0.424241 	0.058856 	0.036137 	0.055623 	 0.000162 
0.421371 	0.057599 	0.035154 	0.056279 	 0.000205 
0.423027 	0.047681 	0.028725 	0.049609 	 0.000082 
0.408522 	0.059354 	0.036155 	0.058757 	 0.001276 
0.413143 	0.055016 	0.033201 	0.054655 	 0.000396 
0.416588 	0.050898 	0.030667 	0.054473 	 0.000644 
0.399738 	0.076075 	0.047337 	0.067434 	 0.001545 
0.417088 	0.060411 	0.036623 	0.063088 	 0.001378 
0.409086 	0.060288 	0.037149 	0.057843 	 0.001468 
0.412768 	0.067649 	0.041517 	0.064573 	 0.001125 
0.399390 	0.064348 	0.039741 	0.061605 	 0.001375 
0.408131 	0.058101 	0.035982 	0.055601 	 0.001653 
0.396540 	0.076825 	0.047710 	0.070120 	 0.002841 
0.402457 	0.072999 	0.045808 	0.063894 	 0.001811 
0.410398 	0.059293 	0.036271 	0.057244 	 0.000585 
0.389640 	0.075371 	0.046665 	0.070328 	 0.003130 
0.410707 	0.060641 	0.036870 	0.060220 	 0.000769 
0.390799 	0.079981 	0.049682 	0.072484 	 0.002521 
0.393061 	0.074961 	0.046765 	0.067953 	 0.002810 
0.393813 	0.066540 	0.040883 	0.063544 	 0.001990 
0.397620 	0.063991 	0.039773 	0.060090 	 0.002307 
0.387877 	0.078008 	0.048816 	0.070643 	 0.003236 
0.382986 	0.078565 	0.049031 	0.071701 	 0.003051 
0.384716 	0.079388 	0.049097 	0.075104 	 0.003416 
0.391113 	0.073977 	0.045887 	0.069283 	 0.002725 
0.389019 	0.077762 	0.048315 	0.072089 	 0.003025 
0.390821 	0.074811 	0.046302 	0.069004 	 0.002579 
0.391586 	0.068784 	0.042275 	0.065210 	 0.002464 
0.384500 	0.079821 	0.049486 	0.074098 	 0.003154 
0.381272 	0.076695 	0.047562 	0.072442 	 0.003352 
0.378985 	0.078266 	0.048495 	0.074301 	 0.003463 
0.373246 	0.085625 	0.053399 	0.077106 	 0.004053 
0.378653 	0.074104 	0.045836 	0.067805 	 0.002957 
0.365830 	0.084136 	0.052252 	0.074845 	 0.003784 
0.370562 	0.095371 	0.059337 	0.086263 	 0.004265 
0.381287 	0.079945 	0.049627 	0.073553 	 0.003357 
0.382628 	0.078701 	0.049037 	0.074180 	 0.003876 
0.375066 	0.082973 	0.051723 	0.077828 	 0.003884 
0.362654 	0.098132 	0.061858 	0.085415 	 0.005127 
0.369442 	0.087476 	0.054603 	0.077253 	 0.003673 
0.367152 	0.085816 	0.053524 	0.077585 	 0.003677 
0.362598 	0.100690 	0.063255 	0.084824 	 0.004265 
0.372920 	0.084479 	0.052433 	0.075796 	 0.003026 
0.361460 	0.085540 	0.053621 	0.076834 	 0.004160 
0.361735 	0.091627 	0.057561 	0.080766 	 0.004247 
0.371131 	0.090027 	0.056905 	0.076795 	 0.003950 
0.355707 	0.094637 	0.059251 	0.081858 	 0.004557 
0.352502 	0.096368 	0.060717 	0.083069 	 0.004784 
0.354041 	0.098979 	0.062675 	0.084149 	 0.005032 
