di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	-0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	-0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	-0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	-0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	-0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000001 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000001 	 0.000000 
0.000007 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000007 	 0.000000 
0.000150 	0.000008 	0.000001 	0.000005 	0.000000 	0.000149 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000047 	0.000002 	0.000000 	0.000002 	-0.000000 	0.000047 	 0.000000 
0.000611 	0.000024 	0.000002 	0.000022 	-0.000000 	0.000610 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	-0.000000 	0.000000 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.001324 	0.000066 	0.000011 	0.000044 	0.000001 	0.001323 	 0.000000 
0.013952 	0.000608 	0.000051 	0.000557 	-0.000002 	0.013947 	 0.000005 
0.467855 	0.020377 	0.003143 	0.013558 	0.000318 	0.467731 	 0.000129 
0.030971 	0.001396 	0.000109 	0.001305 	-0.000006 	0.030959 	 0.000012 
0.000026 	0.000002 	0.000000 	0.000001 	0.000000 	0.000026 	 0.000000 
0.000049 	0.000003 	0.000000 	0.000002 	0.000000 	0.000049 	 0.000000 
0.000015 	0.000001 	0.000000 	0.000001 	0.000000 	0.000015 	 0.000000 
0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	0.000000 	 0.000000 
0.000013 	0.000001 	0.000000 	0.000001 	0.000000 	0.000013 	 0.000000 
0.236436 	0.019594 	0.003142 	0.014434 	0.000344 	0.236273 	 0.000163 
0.056976 	0.003464 	0.000500 	0.002611 	0.000049 	0.056948 	 0.000028 
