di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.477796 	0.006339 	-0.003126 	0.007032 	-0.000498 	0.477606 	 0.000166 
0.516485 	0.007920 	-0.003748 	0.010257 	-0.000437 	0.516287 	 0.000198 
0.473623 	0.007063 	-0.003297 	0.008362 	-0.000473 	0.473430 	 0.000172 
0.495199 	0.010839 	-0.002451 	0.011015 	-0.000258 	0.494985 	 0.000187 
0.502628 	0.009570 	-0.002936 	0.009924 	-0.000359 	0.502398 	 0.000208 
0.486607 	0.014491 	-0.001232 	0.012734 	-0.000204 	0.486398 	 0.000210 
0.496913 	0.012789 	-0.001647 	0.012153 	-0.000315 	0.496726 	 0.000200 
0.498865 	0.012640 	-0.002152 	0.011918 	-0.000268 	0.498614 	 0.000241 
0.503269 	0.009274 	-0.002495 	0.009776 	-0.000376 	0.503071 	 0.000195 
0.488276 	0.006292 	-0.002576 	0.006967 	-0.000574 	0.488073 	 0.000208 
0.469188 	0.024320 	0.001295 	0.018315 	0.000256 	0.468966 	 0.000206 
0.481697 	0.014390 	-0.001360 	0.012459 	-0.000183 	0.481459 	 0.000226 
0.511508 	0.014635 	-0.000848 	0.012824 	-0.000156 	0.511309 	 0.000204 
0.499427 	0.014491 	-0.001897 	0.012641 	-0.000163 	0.499144 	 0.000265 
0.479711 	0.020256 	0.000445 	0.015588 	0.000109 	0.479451 	 0.000231 
0.502024 	0.018159 	-0.000504 	0.014809 	-0.000003 	0.501733 	 0.000278 
0.458259 	0.014941 	-0.000213 	0.012075 	-0.000041 	0.458081 	 0.000157 
0.449295 	0.013981 	-0.000204 	0.011411 	-0.000104 	0.449101 	 0.000178 
0.454290 	0.016170 	0.000088 	0.013370 	-0.000020 	0.454088 	 0.000199 
0.451416 	0.016404 	-0.000259 	0.013387 	0.000022 	0.451198 	 0.000203 
0.446933 	0.018063 	0.001633 	0.013101 	0.000080 	0.446715 	 0.000217 
0.463197 	0.017065 	0.000275 	0.013965 	0.000005 	0.462993 	 0.000204 
0.441182 	0.016472 	0.000050 	0.013393 	0.000050 	0.440974 	 0.000192 
0.442393 	0.019776 	0.001682 	0.015091 	0.000203 	0.442169 	 0.000213 
0.435587 	0.029218 	0.003758 	0.020685 	0.000635 	0.435340 	 0.000228 
0.441363 	0.022391 	0.002047 	0.016160 	0.000311 	0.441118 	 0.000219 
0.449229 	0.024012 	0.002350 	0.017316 	0.000404 	0.449015 	 0.000204 
0.453777 	0.017952 	0.000631 	0.014452 	0.000085 	0.453545 	 0.000229 
0.433945 	0.022825 	0.002286 	0.016566 	0.000368 	0.433697 	 0.000221 
0.446183 	0.019915 	0.000594 	0.015391 	0.000245 	0.445945 	 0.000221 
0.445702 	0.028891 	0.003797 	0.020123 	0.000589 	0.445482 	 0.000219 
0.435148 	0.021459 	0.001982 	0.015161 	0.000270 	0.434876 	 0.000254 
0.440265 	0.026408 	0.002328 	0.019642 	0.000516 	0.439991 	 0.000249 
0.471368 	0.020166 	0.001269 	0.015407 	0.000248 	0.471133 	 0.000239 
0.447625 	0.028487 	0.003327 	0.019945 	0.000665 	0.447337 	 0.000266 
0.446393 	0.028501 	0.003910 	0.020178 	0.000555 	0.446188 	 0.000213 
0.438873 	0.021844 	0.001525 	0.016264 	0.000314 	0.438649 	 0.000207 
0.438592 	0.028718 	0.003744 	0.019831 	0.000603 	0.438338 	 0.000239 
0.439461 	0.034113 	0.005429 	0.023615 	0.000805 	0.439191 	 0.000275 
0.439401 	0.029211 	0.004389 	0.020004 	0.000634 	0.439124 	 0.000269 
0.447577 	0.025644 	0.003064 	0.018181 	0.000498 	0.447296 	 0.000265 
0.444280 	0.028454 	0.003237 	0.020345 	0.000599 	0.443998 	 0.000275 
0.442892 	0.033251 	0.005259 	0.022460 	0.000799 	0.442603 	 0.000290 
0.453706 	0.025862 	0.003157 	0.018708 	0.000458 	0.453452 	 0.000253 
0.442277 	0.033919 	0.005601 	0.022867 	0.000830 	0.442008 	 0.000257 
0.444027 	0.032902 	0.004461 	0.022221 	0.000757 	0.443709 	 0.000302 
0.447761 	0.034196 	0.005052 	0.023210 	0.000779 	0.447435 	 0.000320 
0.442750 	0.034675 	0.005201 	0.022957 	0.000852 	0.442437 	 0.000306 
0.461218 	0.032636 	0.004633 	0.022645 	0.000673 	0.460950 	 0.000285 
0.448404 	0.036784 	0.005320 	0.024744 	0.000933 	0.448074 	 0.000317 
0.453150 	0.036739 	0.005060 	0.025775 	0.000946 	0.452809 	 0.000324 
0.456630 	0.037066 	0.005977 	0.024711 	0.000894 	0.456300 	 0.000330 
0.457153 	0.030711 	0.003472 	0.021531 	0.000656 	0.456815 	 0.000329 
0.447090 	0.040242 	0.006020 	0.027034 	0.001076 	0.446745 	 0.000340 
0.435695 	0.043353 	0.007184 	0.028564 	0.001191 	0.435335 	 0.000361 
0.448974 	0.041044 	0.006566 	0.027234 	0.001120 	0.448622 	 0.000343 
0.447539 	0.042887 	0.006761 	0.028725 	0.001196 	0.447202 	 0.000325 
0.460806 	0.040201 	0.005975 	0.027705 	0.001069 	0.460479 	 0.000331 
0.458554 	0.037635 	0.005496 	0.025709 	0.000917 	0.458190 	 0.000368 
0.437334 	0.044608 	0.007880 	0.028899 	0.001292 	0.436945 	 0.000370 
0.438085 	0.037491 	0.006493 	0.024563 	0.000951 	0.437728 	 0.000357 
0.445167 	0.043951 	0.007733 	0.028618 	0.001255 	0.444817 	 0.000348 
0.446787 	0.040401 	0.006488 	0.026988 	0.001120 	0.446453 	 0.000330 
0.443677 	0.040449 	0.006317 	0.026393 	0.001137 	0.443293 	 0.000363 
0.451017 	0.038850 	0.006665 	0.025624 	0.001084 	0.450658 	 0.000337 
0.433843 	0.048198 	0.009341 	0.030552 	0.001421 	0.433492 	 0.000350 
0.433644 	0.044687 	0.008400 	0.028614 	0.001256 	0.433297 	 0.000358 
0.436306 	0.037389 	0.006108 	0.024125 	0.000957 	0.435910 	 0.000381 
0.450773 	0.040141 	0.007294 	0.025851 	0.001082 	0.450389 	 0.000378 
0.438686 	0.038240 	0.005531 	0.026115 	0.001013 	0.438308 	 0.000382 
0.438859 	0.045154 	0.007583 	0.029635 	0.001324 	0.438461 	 0.000399 
0.418494 	0.048235 	0.008795 	0.030572 	0.001457 	0.418102 	 0.000377 
0.434140 	0.045176 	0.008146 	0.028983 	0.001306 	0.433767 	 0.000372 
0.433257 	0.048488 	0.008745 	0.031166 	0.001446 	0.432879 	 0.000369 
0.441434 	0.041640 	0.007552 	0.027070 	0.001134 	0.441070 	 0.000368 
0.436269 	0.043407 	0.007950 	0.027661 	0.001241 	0.435895 	 0.000375 
