di 	gli 	gal 	gos3 	 gos4 
0.418617 	0.027683 	0.016835 	0.018409 	 -0.001861 
0.417306 	0.038551 	0.023730 	0.029783 	 -0.000297 
0.441666 	0.027253 	0.015317 	0.035598 	 -0.001270 
0.417451 	0.051962 	0.031587 	0.052267 	 0.000961 
0.429457 	0.050792 	0.030947 	0.051538 	 0.000052 
0.421181 	0.058311 	0.036095 	0.055603 	 0.000452 
0.407510 	0.061087 	0.037513 	0.059507 	 0.001236 
0.428097 	0.048195 	0.029403 	0.048639 	 -0.000003 
0.424149 	0.059914 	0.037001 	0.056203 	 0.000380 
0.417940 	0.057938 	0.035218 	0.056530 	 0.000045 
0.423385 	0.045995 	0.027658 	0.048465 	 0.000205 
0.409493 	0.056616 	0.034471 	0.056408 	 0.001253 
0.412708 	0.056913 	0.034436 	0.056331 	 0.000618 
0.413450 	0.049134 	0.029353 	0.054202 	 0.000692 
0.397618 	0.077934 	0.048562 	0.068948 	 0.001652 
0.415275 	0.060670 	0.036777 	0.063753 	 0.001438 
0.407816 	0.061354 	0.037824 	0.058147 	 0.001380 
0.413121 	0.068279 	0.042174 	0.064088 	 0.001018 
0.402312 	0.063279 	0.038882 	0.060038 	 0.001118 
0.403123 	0.061474 	0.037984 	0.059294 	 0.002060 
0.395103 	0.076895 	0.047800 	0.070699 	 0.002745 
0.401891 	0.069817 	0.043705 	0.061202 	 0.001547 
0.409512 	0.060004 	0.036877 	0.056879 	 0.000551 
0.386884 	0.076962 	0.047783 	0.071562 	 0.003321 
0.406358 	0.065251 	0.039924 	0.065128 	 0.001484 
0.394748 	0.076765 	0.047762 	0.070089 	 0.002162 
0.396429 	0.069781 	0.043388 	0.064614 	 0.002440 
0.392528 	0.069257 	0.042859 	0.065878 	 0.002241 
0.399491 	0.061439 	0.037945 	0.059266 	 0.002229 
0.387467 	0.082293 	0.051416 	0.073633 	 0.003293 
0.388639 	0.076333 	0.047632 	0.070684 	 0.002877 
0.385679 	0.079573 	0.049186 	0.075706 	 0.003550 
0.388888 	0.077060 	0.047710 	0.072659 	 0.002827 
0.390755 	0.073346 	0.045497 	0.068754 	 0.002808 
0.393975 	0.071951 	0.044546 	0.066719 	 0.002277 
0.392523 	0.067447 	0.041754 	0.063308 	 0.002439 
0.384689 	0.075313 	0.046399 	0.072604 	 0.003129 
0.384024 	0.076371 	0.047202 	0.072450 	 0.003212 
0.382859 	0.078460 	0.048654 	0.074897 	 0.003373 
0.372834 	0.087223 	0.054348 	0.079041 	 0.004243 
0.380180 	0.075808 	0.046803 	0.068372 	 0.002768 
0.365310 	0.083963 	0.052293 	0.074491 	 0.003996 
0.368320 	0.098996 	0.061830 	0.088398 	 0.004549 
0.383182 	0.077226 	0.048004 	0.072033 	 0.003320 
0.383065 	0.076540 	0.047878 	0.071739 	 0.003920 
0.377968 	0.081998 	0.051083 	0.076632 	 0.003687 
0.360262 	0.099601 	0.062650 	0.086672 	 0.005218 
0.369906 	0.086468 	0.054082 	0.076777 	 0.003722 
0.371202 	0.085406 	0.053523 	0.076113 	 0.003590 
0.361598 	0.100760 	0.063584 	0.085896 	 0.004596 
0.372753 	0.084179 	0.052404 	0.075908 	 0.003049 
0.361624 	0.084470 	0.052878 	0.075512 	 0.003887 
0.359398 	0.090686 	0.056938 	0.080026 	 0.004315 
0.374119 	0.087493 	0.055614 	0.073166 	 0.004013 
0.362446 	0.088469 	0.055518 	0.077349 	 0.004218 
0.348216 	0.101363 	0.063908 	0.087034 	 0.005380 
0.355519 	0.098998 	0.062537 	0.084832 	 0.005070 
0.354848 	0.097287 	0.061319 	0.083500 	 0.004793 
0.344380 	0.106160 	0.066868 	0.090770 	 0.004939 
0.364503 	0.088331 	0.055646 	0.080299 	 0.005049 
0.357402 	0.094288 	0.059945 	0.082099 	 0.004705 
0.343950 	0.109787 	0.069271 	0.093573 	 0.005741 
0.353768 	0.092616 	0.058151 	0.082253 	 0.004443 
0.356969 	0.090563 	0.056781 	0.081211 	 0.004539 
0.347776 	0.098856 	0.062202 	0.086340 	 0.005601 
0.329922 	0.116193 	0.073710 	0.096811 	 0.006768 
0.346503 	0.090980 	0.057255 	0.080279 	 0.004444 
0.339284 	0.102442 	0.064438 	0.089612 	 0.005282 
0.339250 	0.105557 	0.066906 	0.090471 	 0.006112 
0.336920 	0.109420 	0.069386 	0.092682 	 0.006432 
0.356475 	0.097616 	0.061588 	0.086023 	 0.004653 
0.343540 	0.098715 	0.062194 	0.084717 	 0.005326 
0.344651 	0.106985 	0.067754 	0.092575 	 0.005878 
0.336814 	0.114502 	0.072748 	0.096373 	 0.006138 
0.337531 	0.110993 	0.070275 	0.094715 	 0.006095 
0.346480 	0.098532 	0.062217 	0.084434 	 0.005572 
0.334869 	0.111104 	0.070279 	0.093739 	 0.005717 
0.349837 	0.102623 	0.064994 	0.087289 	 0.005180 
0.347421 	0.098499 	0.062530 	0.083577 	 0.005221 
0.325638 	0.115076 	0.072943 	0.094813 	 0.006429 
0.347633 	0.093650 	0.059126 	0.079910 	 0.004239 
0.327674 	0.107590 	0.068350 	0.089981 	 0.006209 
0.333659 	0.102477 	0.064944 	0.086935 	 0.005886 
0.337499 	0.103078 	0.065988 	0.084311 	 0.006029 
0.341123 	0.094427 	0.059492 	0.082475 	 0.004995 
0.345216 	0.098235 	0.062366 	0.084342 	 0.006197 
0.327220 	0.111795 	0.071202 	0.091549 	 0.006293 
0.329384 	0.101709 	0.064837 	0.085403 	 0.006096 
0.326329 	0.110185 	0.069833 	0.093424 	 0.005873 
0.334361 	0.103566 	0.065680 	0.087387 	 0.005476 
0.342059 	0.097971 	0.062250 	0.083415 	 0.005357 
0.330482 	0.105718 	0.067240 	0.088924 	 0.006018 
0.330288 	0.110831 	0.070278 	0.093447 	 0.006614 
0.324669 	0.120401 	0.076649 	0.100928 	 0.007079 
0.328869 	0.103953 	0.065784 	0.090461 	 0.006292 
