k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.032713 	0.012484 	0.003758 	0.007456 	0.000581 	0.032737 	 0.000078 
2 	0.025693 	0.009401 	0.002838 	0.005716 	0.000481 	0.025714 	 0.000070 
3 	0.017194 	0.007644 	0.002324 	0.005110 	0.000396 	0.017200 	 0.000064 
4 	0.015013 	0.006376 	0.001968 	0.004483 	0.000346 	0.015019 	 0.000063 
5 	0.013772 	0.005804 	0.001715 	0.004162 	0.000323 	0.013777 	 0.000061 
6 	0.011467 	0.004901 	0.001541 	0.003741 	0.000288 	0.011476 	 0.000059 
7 	0.010834 	0.004648 	0.001483 	0.003582 	0.000278 	0.010846 	 0.000056 
8 	0.009860 	0.004404 	0.001428 	0.003399 	0.000265 	0.009874 	 0.000054 
9 	0.009493 	0.004348 	0.001410 	0.003365 	0.000263 	0.009508 	 0.000053 
10 	0.008968 	0.004230 	0.001374 	0.003298 	0.000260 	0.008986 	 0.000053 
11 	0.008656 	0.004146 	0.001367 	0.003237 	0.000254 	0.008676 	 0.000052 
12 	0.008210 	0.004077 	0.001357 	0.003181 	0.000253 	0.008230 	 0.000051 
13 	0.007965 	0.004004 	0.001357 	0.003128 	0.000252 	0.007986 	 0.000051 
14 	0.007846 	0.003958 	0.001352 	0.003086 	0.000251 	0.007867 	 0.000050 
15 	0.007798 	0.003961 	0.001350 	0.003108 	0.000250 	0.007819 	 0.000051 
