di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.474535 	0.003889 	-0.001438 	0.003751 	-0.000568 	0.474438 	 0.000123 
0.482932 	0.011128 	-0.002932 	0.013794 	-0.000121 	0.482758 	 0.000162 
0.472795 	0.008257 	-0.002392 	0.008919 	-0.000349 	0.472648 	 0.000168 
0.482344 	0.007303 	-0.002373 	0.008299 	-0.000301 	0.482207 	 0.000133 
0.485474 	0.010552 	-0.000982 	0.009018 	-0.000129 	0.485354 	 0.000094 
0.473214 	0.010507 	-0.000528 	0.010162 	-0.000194 	0.473103 	 0.000089 
0.480248 	0.014043 	-0.002068 	0.014921 	-0.000124 	0.480064 	 0.000191 
0.482962 	0.014186 	-0.001339 	0.013435 	-0.000112 	0.482750 	 0.000210 
0.480045 	0.010973 	-0.000513 	0.008791 	-0.000091 	0.479933 	 0.000107 
0.472977 	0.013939 	0.000656 	0.011478 	-0.000094 	0.472861 	 0.000121 
0.468837 	0.019437 	0.001642 	0.014198 	0.000075 	0.468667 	 0.000171 
0.483678 	0.008087 	-0.000720 	0.007442 	-0.000395 	0.483547 	 0.000118 
0.479757 	0.018555 	0.001676 	0.013541 	0.000200 	0.479604 	 0.000135 
0.479663 	0.010290 	-0.000770 	0.008821 	-0.000192 	0.479520 	 0.000144 
0.483640 	0.016167 	0.002274 	0.009305 	-0.000092 	0.483471 	 0.000154 
0.479098 	0.021121 	0.002725 	0.014541 	0.000288 	0.478941 	 0.000138 
0.465220 	0.017861 	0.001139 	0.014214 	0.000288 	0.465049 	 0.000190 
0.466476 	0.009918 	-0.002066 	0.010390 	-0.000215 	0.466282 	 0.000198 
0.472410 	0.017624 	-0.000305 	0.015024 	0.000034 	0.472164 	 0.000254 
0.462474 	0.019169 	-0.001753 	0.018267 	0.000337 	0.462222 	 0.000267 
0.463194 	0.015697 	-0.000624 	0.013170 	-0.000028 	0.462940 	 0.000264 
0.474550 	0.013908 	-0.001726 	0.014291 	-0.000212 	0.474330 	 0.000222 
0.462774 	0.017927 	-0.000011 	0.015237 	0.000153 	0.462535 	 0.000249 
0.454571 	0.022474 	0.000089 	0.018948 	0.000311 	0.454267 	 0.000321 
0.457648 	0.018381 	0.000392 	0.014781 	0.000123 	0.457396 	 0.000245 
0.458539 	0.018037 	0.000107 	0.014548 	0.000105 	0.458309 	 0.000239 
0.454413 	0.025587 	0.002106 	0.019369 	0.000475 	0.454161 	 0.000263 
0.454899 	0.023990 	0.001683 	0.019390 	0.000354 	0.454639 	 0.000263 
0.457776 	0.021839 	0.001175 	0.016942 	0.000368 	0.457514 	 0.000276 
0.447577 	0.025401 	0.002062 	0.018856 	0.000521 	0.447333 	 0.000266 
0.455183 	0.024088 	0.002642 	0.017629 	0.000331 	0.454950 	 0.000228 
0.454281 	0.027054 	0.002401 	0.021017 	0.000493 	0.453994 	 0.000305 
0.464124 	0.023067 	0.000794 	0.018660 	0.000349 	0.463823 	 0.000300 
0.456009 	0.029601 	0.003190 	0.022141 	0.000745 	0.455728 	 0.000292 
0.440069 	0.033261 	0.004579 	0.023813 	0.000910 	0.439768 	 0.000311 
0.459050 	0.025839 	0.001994 	0.019598 	0.000443 	0.458809 	 0.000251 
0.441572 	0.025434 	0.003317 	0.019045 	0.000396 	0.441340 	 0.000260 
0.456802 	0.025129 	0.002141 	0.018806 	0.000370 	0.456516 	 0.000302 
