di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.432592 	0.037520 	0.004471 	0.026072 	0.000806 	0.432430 	 0.000167 
0.444149 	0.038087 	0.003891 	0.026397 	0.000874 	0.443983 	 0.000182 
0.428973 	0.036108 	0.004196 	0.025282 	0.000734 	0.428820 	 0.000158 
0.447987 	0.038711 	0.003613 	0.026959 	0.000892 	0.447821 	 0.000183 
0.446983 	0.040490 	0.004490 	0.027857 	0.000966 	0.446795 	 0.000200 
0.440025 	0.039252 	0.004363 	0.027056 	0.000911 	0.439846 	 0.000191 
0.450229 	0.038331 	0.003669 	0.026698 	0.000857 	0.450072 	 0.000174 
0.445866 	0.040458 	0.004553 	0.027815 	0.000972 	0.445670 	 0.000209 
0.447888 	0.038310 	0.003779 	0.026601 	0.000865 	0.447733 	 0.000172 
0.441849 	0.039252 	0.004593 	0.027237 	0.000893 	0.441673 	 0.000183 
0.439988 	0.042309 	0.005241 	0.028670 	0.001065 	0.439800 	 0.000200 
0.449612 	0.040230 	0.004212 	0.027822 	0.000927 	0.449439 	 0.000185 
0.456464 	0.040245 	0.004189 	0.027808 	0.000967 	0.456275 	 0.000206 
0.464964 	0.043500 	0.004987 	0.030049 	0.001086 	0.464731 	 0.000244 
0.443720 	0.042905 	0.005390 	0.029011 	0.001100 	0.443511 	 0.000222 
0.471599 	0.042950 	0.004586 	0.029960 	0.001041 	0.471367 	 0.000244 
0.416431 	0.038797 	0.005490 	0.026267 	0.000925 	0.416259 	 0.000178 
0.402627 	0.038927 	0.006106 	0.025917 	0.000970 	0.402448 	 0.000185 
0.403070 	0.038069 	0.005488 	0.025303 	0.000942 	0.402919 	 0.000163 
0.398057 	0.040796 	0.006543 	0.026696 	0.001091 	0.397877 	 0.000189 
0.405594 	0.040449 	0.006017 	0.026668 	0.001079 	0.405415 	 0.000191 
0.403395 	0.040926 	0.006485 	0.026813 	0.001117 	0.403210 	 0.000196 
0.394828 	0.039692 	0.006586 	0.026123 	0.001029 	0.394648 	 0.000185 
0.395448 	0.040459 	0.006462 	0.026406 	0.001108 	0.395258 	 0.000201 
0.411943 	0.043022 	0.006581 	0.028241 	0.001205 	0.411736 	 0.000220 
0.405061 	0.041062 	0.006232 	0.026978 	0.001109 	0.404871 	 0.000202 
0.409978 	0.042060 	0.006513 	0.027657 	0.001144 	0.409780 	 0.000208 
0.401093 	0.042651 	0.007039 	0.027753 	0.001201 	0.400893 	 0.000209 
0.399911 	0.041517 	0.006586 	0.027103 	0.001145 	0.399720 	 0.000202 
