k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.020941 	0.006260 	0.003650 	0.004266 	0.000317 	0.020996 	 0.000096 
2 	0.008367 	0.001899 	0.001316 	0.002778 	0.000087 	0.008389 	 0.000076 
3 	0.006893 	0.001713 	0.001166 	0.002425 	0.000083 	0.006925 	 0.000066 
4 	0.005827 	0.001571 	0.001028 	0.002130 	0.000081 	0.005844 	 0.000058 
5 	0.004543 	0.001411 	0.000879 	0.001714 	0.000080 	0.004555 	 0.000047 
6 	0.003987 	0.001359 	0.000839 	0.001597 	0.000077 	0.003993 	 0.000044 
7 	0.003735 	0.001335 	0.000769 	0.001528 	0.000075 	0.003746 	 0.000041 
8 	0.003577 	0.001328 	0.000720 	0.001453 	0.000075 	0.003587 	 0.000038 
9 	0.003462 	0.001340 	0.000687 	0.001459 	0.000074 	0.003470 	 0.000038 
10 	0.003394 	0.001371 	0.000683 	0.001459 	0.000075 	0.003403 	 0.000038 
11 	0.003308 	0.001382 	0.000672 	0.001470 	0.000074 	0.003315 	 0.000039 
12 	0.003240 	0.001375 	0.000655 	0.001451 	0.000075 	0.003246 	 0.000038 
13 	0.003205 	0.001362 	0.000644 	0.001463 	0.000074 	0.003212 	 0.000039 
14 	0.003202 	0.001365 	0.000642 	0.001474 	0.000074 	0.003208 	 0.000039 
15 	0.003182 	0.001353 	0.000636 	0.001450 	0.000074 	0.003188 	 0.000039 
