k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.057083 	0.012635 	0.004392 	0.007114 	0.000474 	0.057123 	 0.000202 
2 	0.033258 	0.009662 	0.003632 	0.005231 	0.000443 	0.033261 	 0.000167 
3 	0.031331 	0.007509 	0.003274 	0.003959 	0.000388 	0.031330 	 0.000154 
4 	0.028573 	0.006837 	0.002907 	0.003702 	0.000341 	0.028551 	 0.000137 
5 	0.026898 	0.005777 	0.002432 	0.002955 	0.000284 	0.026866 	 0.000132 
6 	0.023333 	0.005327 	0.002147 	0.002805 	0.000263 	0.023301 	 0.000127 
7 	0.021656 	0.004486 	0.001905 	0.002436 	0.000229 	0.021630 	 0.000123 
8 	0.020826 	0.004191 	0.001815 	0.002314 	0.000219 	0.020797 	 0.000120 
9 	0.019710 	0.003964 	0.001746 	0.002231 	0.000212 	0.019680 	 0.000118 
10 	0.018863 	0.003857 	0.001682 	0.002181 	0.000208 	0.018827 	 0.000117 
11 	0.018224 	0.003779 	0.001664 	0.002145 	0.000206 	0.018192 	 0.000117 
12 	0.017493 	0.003742 	0.001642 	0.002124 	0.000206 	0.017461 	 0.000118 
13 	0.017013 	0.003661 	0.001621 	0.002094 	0.000204 	0.016980 	 0.000118 
14 	0.016605 	0.003691 	0.001627 	0.002108 	0.000205 	0.016577 	 0.000118 
15 	0.016129 	0.003668 	0.001613 	0.002108 	0.000205 	0.016110 	 0.000118 
