k 	di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
1 	0.072385 	0.033948 	0.009952 	0.014224 	0.001894 	0.074254 	 0.004084 
2 	0.051987 	0.027500 	0.008212 	0.011297 	0.001583 	0.054467 	 0.003524 
3 	0.030314 	0.020054 	0.006073 	0.008744 	0.001196 	0.032262 	 0.002851 
4 	0.025250 	0.015182 	0.004788 	0.007000 	0.000980 	0.026681 	 0.002392 
5 	0.023287 	0.014530 	0.004583 	0.006758 	0.000951 	0.024589 	 0.002287 
6 	0.021922 	0.013295 	0.004283 	0.006310 	0.000895 	0.023118 	 0.002149 
7 	0.020849 	0.012817 	0.004132 	0.006207 	0.000877 	0.021945 	 0.002089 
8 	0.020397 	0.012409 	0.004066 	0.005952 	0.000861 	0.021487 	 0.002049 
9 	0.020063 	0.012120 	0.004027 	0.005816 	0.000848 	0.021155 	 0.002003 
10 	0.020002 	0.011865 	0.004003 	0.005579 	0.000833 	0.021125 	 0.001990 
11 	0.019772 	0.011715 	0.003985 	0.005527 	0.000824 	0.020887 	 0.001976 
12 	0.019690 	0.011618 	0.003961 	0.005472 	0.000817 	0.020818 	 0.001963 
13 	0.019680 	0.011478 	0.003944 	0.005398 	0.000808 	0.020814 	 0.001959 
14 	0.019655 	0.011400 	0.003911 	0.005376 	0.000803 	0.020794 	 0.001950 
15 	0.019602 	0.011362 	0.003901 	0.005355 	0.000801 	0.020748 	 0.001936 
