k 	di 	gli 	gal 	gos3 	 gos4 
1 	0.063284 	0.035120 	0.022827 	0.025113 	 0.003485 
2 	0.048445 	0.026806 	0.017703 	0.018161 	 0.002206 
3 	0.043484 	0.022618 	0.014839 	0.015215 	 0.001882 
4 	0.039576 	0.020330 	0.012918 	0.014376 	 0.001599 
5 	0.032982 	0.018708 	0.011749 	0.013498 	 0.001476 
6 	0.030458 	0.017667 	0.011015 	0.012822 	 0.001401 
7 	0.029199 	0.017402 	0.010869 	0.012604 	 0.001393 
8 	0.027957 	0.016807 	0.010548 	0.012256 	 0.001367 
9 	0.026768 	0.016634 	0.010454 	0.012067 	 0.001349 
10 	0.025385 	0.016291 	0.010247 	0.011844 	 0.001332 
11 	0.024661 	0.016011 	0.010068 	0.011661 	 0.001310 
12 	0.024032 	0.015773 	0.009941 	0.011500 	 0.001298 
13 	0.023183 	0.015620 	0.009843 	0.011315 	 0.001285 
14 	0.022476 	0.015355 	0.009681 	0.011146 	 0.001273 
15 	0.022197 	0.015137 	0.009555 	0.011016 	 0.001267 
