di 	gli 	gal 	gos3 	 gos4 
0.203532 	0.039217 	0.030688 	0.017072 	 -0.000781 
0.204596 	0.045111 	0.033242 	0.023240 	 0.000587 
0.240181 	0.035250 	0.025725 	0.024115 	 0.000388 
0.225708 	0.048028 	0.032851 	0.029861 	 0.000729 
0.243835 	0.048982 	0.037048 	0.027775 	 0.000899 
0.215680 	0.048589 	0.035938 	0.028453 	 0.001505 
0.293034 	0.042297 	0.027137 	0.032486 	 0.000873 
0.236712 	0.046715 	0.031502 	0.029357 	 0.000796 
0.213145 	0.063735 	0.044143 	0.044954 	 0.001867 
0.222150 	0.037454 	0.028165 	0.020238 	 -0.000350 
0.269225 	0.051479 	0.035547 	0.033780 	 0.002448 
0.213285 	0.052959 	0.040098 	0.034125 	 0.001706 
0.215984 	0.059788 	0.041985 	0.037860 	 0.001967 
0.225266 	0.048516 	0.034993 	0.031271 	 0.002295 
0.228372 	0.052265 	0.036496 	0.035006 	 0.002154 
0.224761 	0.056593 	0.040554 	0.033767 	 0.001786 
0.203321 	0.053077 	0.038639 	0.031402 	 0.001411 
0.197735 	0.056470 	0.040686 	0.034989 	 0.001708 
0.216521 	0.061561 	0.043065 	0.037810 	 0.002186 
0.213442 	0.055673 	0.039573 	0.033762 	 0.002256 
0.221361 	0.071870 	0.051364 	0.046668 	 0.002985 
0.215485 	0.058678 	0.043636 	0.033624 	 0.001923 
0.177646 	0.070240 	0.048918 	0.041350 	 0.002525 
0.223804 	0.058397 	0.042005 	0.035208 	 0.002558 
0.212812 	0.067569 	0.046804 	0.044028 	 0.003068 
0.226131 	0.067866 	0.046907 	0.041708 	 0.002951 
0.196103 	0.064445 	0.045123 	0.041615 	 0.003077 
0.185119 	0.066296 	0.047950 	0.038804 	 0.003352 
0.207037 	0.074554 	0.051607 	0.046030 	 0.003665 
0.185691 	0.050921 	0.038118 	0.027833 	 0.001597 
0.183087 	0.064547 	0.045856 	0.039515 	 0.003129 
0.202028 	0.064104 	0.046769 	0.038544 	 0.003085 
0.202328 	0.056694 	0.042335 	0.033157 	 0.002552 
0.220407 	0.050077 	0.035961 	0.029055 	 0.001901 
0.205955 	0.051133 	0.036936 	0.030418 	 0.002208 
0.222318 	0.060823 	0.043568 	0.039362 	 0.002953 
0.195889 	0.052421 	0.038234 	0.030799 	 0.002105 
0.201946 	0.068397 	0.047858 	0.041453 	 0.002889 
0.213879 	0.062049 	0.044275 	0.037875 	 0.002803 
0.201753 	0.065642 	0.046555 	0.040148 	 0.003203 
0.193651 	0.076850 	0.052653 	0.048773 	 0.004073 
0.230613 	0.048994 	0.035853 	0.029395 	 0.001828 
0.169579 	0.069694 	0.049983 	0.038455 	 0.002376 
0.242613 	0.056089 	0.041372 	0.035029 	 0.002608 
0.211528 	0.061319 	0.044309 	0.036915 	 0.002435 
0.201275 	0.070127 	0.048984 	0.043140 	 0.003393 
0.198758 	0.081329 	0.056201 	0.051377 	 0.003539 
0.171322 	0.082093 	0.056409 	0.051388 	 0.003986 
0.204711 	0.056531 	0.042252 	0.029826 	 0.002150 
0.168048 	0.056311 	0.042728 	0.029298 	 0.001864 
0.190308 	0.076170 	0.053500 	0.046549 	 0.003639 
0.201861 	0.070810 	0.048744 	0.042646 	 0.003279 
0.197105 	0.072024 	0.050258 	0.041755 	 0.002951 
0.189444 	0.063955 	0.045315 	0.037415 	 0.002680 
0.192288 	0.070654 	0.050555 	0.044541 	 0.003442 
0.204367 	0.064549 	0.047831 	0.039864 	 0.002287 
0.187779 	0.075352 	0.052411 	0.045666 	 0.002530 
0.177556 	0.058637 	0.042125 	0.033411 	 0.002169 
0.173899 	0.066183 	0.047261 	0.035803 	 0.001229 
0.189074 	0.082276 	0.056533 	0.052150 	 0.003797 
0.183056 	0.067249 	0.046868 	0.040839 	 0.002635 
0.200888 	0.060456 	0.042418 	0.038179 	 0.003050 
0.158417 	0.068921 	0.050792 	0.038249 	 0.002086 
0.165503 	0.071767 	0.050765 	0.040754 	 0.002765 
0.157435 	0.065369 	0.049763 	0.034431 	 0.002248 
0.188828 	0.060893 	0.043835 	0.033989 	 0.002922 
0.174718 	0.073196 	0.051606 	0.038541 	 0.002768 
0.186259 	0.059131 	0.042040 	0.034002 	 0.002886 
0.184788 	0.062006 	0.044468 	0.036828 	 0.002371 
0.180585 	0.056700 	0.041825 	0.030019 	 0.002510 
0.155442 	0.077097 	0.053992 	0.043420 	 0.003283 
0.207003 	0.059575 	0.044033 	0.032040 	 0.002527 
0.165368 	0.065040 	0.047187 	0.034356 	 0.002538 
0.180121 	0.083029 	0.057177 	0.049870 	 0.003670 
0.161304 	0.075087 	0.053698 	0.040820 	 0.002766 
0.169519 	0.074714 	0.052247 	0.045072 	 0.002837 
0.194124 	0.064031 	0.046674 	0.035118 	 0.002520 
0.200530 	0.067588 	0.048376 	0.037640 	 0.002618 
0.166205 	0.065039 	0.047387 	0.033330 	 0.002076 
0.183048 	0.066357 	0.047966 	0.037604 	 0.003117 
0.161673 	0.074951 	0.053913 	0.040705 	 0.003000 
0.135870 	0.080402 	0.056185 	0.042856 	 0.003048 
0.156439 	0.083719 	0.058069 	0.046098 	 0.003504 
0.183965 	0.067096 	0.048434 	0.034562 	 0.002611 
0.157515 	0.060548 	0.045774 	0.029102 	 0.001991 
0.158144 	0.060623 	0.045600 	0.029033 	 0.001676 
0.183589 	0.083499 	0.058806 	0.049455 	 0.003926 
0.166099 	0.080568 	0.057646 	0.042728 	 0.003258 
0.199596 	0.072113 	0.050172 	0.044643 	 0.003358 
0.171709 	0.078338 	0.056538 	0.043231 	 0.002836 
0.180149 	0.069178 	0.049734 	0.038177 	 0.002694 
0.159964 	0.079987 	0.056610 	0.043916 	 0.003196 
0.139670 	0.085970 	0.060775 	0.046843 	 0.003785 
0.177402 	0.078595 	0.056063 	0.040809 	 0.003446 
0.165503 	0.087271 	0.062472 	0.046751 	 0.003990 
0.180966 	0.088518 	0.062906 	0.051032 	 0.003789 
0.138140 	0.086628 	0.060958 	0.045393 	 0.003622 
0.171691 	0.072063 	0.051670 	0.038094 	 0.002673 
0.147784 	0.072425 	0.052253 	0.036519 	 0.003008 
0.178166 	0.080462 	0.056398 	0.045079 	 0.003689 
0.188560 	0.057768 	0.043339 	0.027770 	 0.002069 
0.173337 	0.083186 	0.056982 	0.046432 	 0.003466 
0.146108 	0.084889 	0.059595 	0.049278 	 0.003560 
0.171541 	0.076420 	0.054840 	0.041197 	 0.003112 
0.157911 	0.066941 	0.047604 	0.035822 	 0.002745 
0.163338 	0.091080 	0.062971 	0.050392 	 0.003795 
0.162188 	0.079588 	0.058481 	0.041141 	 0.003481 
0.167271 	0.084600 	0.058998 	0.044499 	 0.003575 
0.158460 	0.073391 	0.053516 	0.039200 	 0.003042 
0.158890 	0.080843 	0.057075 	0.044755 	 0.003687 
0.162994 	0.090132 	0.062395 	0.052520 	 0.004130 
0.153016 	0.085464 	0.060342 	0.046064 	 0.003585 
0.138426 	0.068299 	0.050339 	0.030940 	 0.002697 
0.143985 	0.079083 	0.056097 	0.040408 	 0.002504 
0.141121 	0.083926 	0.059809 	0.043125 	 0.003018 
0.164485 	0.078112 	0.056660 	0.041680 	 0.003611 
