di 	gli 	gal 	gos3 	gos4 	lac 	 glb 
0.467609 	0.005427 	-0.000924 	0.005035 	-0.000480 	0.467490 	 0.000125 
0.481675 	0.011989 	-0.002616 	0.014111 	-0.000059 	0.481524 	 0.000147 
0.464706 	0.008493 	-0.002552 	0.009479 	-0.000348 	0.464550 	 0.000158 
0.476128 	0.010283 	-0.001390 	0.009872 	-0.000135 	0.476009 	 0.000108 
0.481546 	0.010901 	0.000087 	0.008904 	-0.000133 	0.481440 	 0.000092 
0.475706 	0.011800 	-0.000211 	0.009465 	-0.000151 	0.475592 	 0.000100 
0.483035 	0.014586 	-0.001923 	0.015203 	-0.000109 	0.482852 	 0.000167 
0.482601 	0.013905 	-0.001457 	0.012756 	-0.000139 	0.482385 	 0.000216 
0.478088 	0.011463 	0.000050 	0.008721 	-0.000042 	0.477984 	 0.000093 
0.469130 	0.012510 	0.000539 	0.009680 	-0.000153 	0.469006 	 0.000096 
0.468155 	0.018855 	0.002083 	0.013449 	0.000045 	0.468003 	 0.000164 
0.485382 	0.009178 	-0.000281 	0.007362 	-0.000330 	0.485264 	 0.000109 
0.480166 	0.016330 	0.001082 	0.012273 	0.000109 	0.480036 	 0.000109 
0.473607 	0.011075 	-0.000076 	0.009275 	-0.000088 	0.473450 	 0.000144 
0.488419 	0.012299 	0.001882 	0.008082 	-0.000210 	0.488295 	 0.000144 
0.473128 	0.019499 	0.002943 	0.013420 	0.000249 	0.472997 	 0.000103 
0.468929 	0.019282 	0.002011 	0.014292 	0.000361 	0.468766 	 0.000167 
0.469015 	0.010901 	-0.001866 	0.010905 	-0.000150 	0.468831 	 0.000189 
0.476844 	0.018349 	-0.000086 	0.015361 	0.000087 	0.476599 	 0.000236 
0.460816 	0.019914 	-0.001301 	0.018367 	0.000320 	0.460548 	 0.000291 
0.458485 	0.019324 	0.000074 	0.016010 	0.000134 	0.458223 	 0.000258 
0.473717 	0.015061 	-0.001852 	0.015521 	-0.000161 	0.473513 	 0.000240 
0.467288 	0.016933 	-0.000297 	0.014543 	0.000093 	0.467063 	 0.000236 
0.454376 	0.023643 	0.000045 	0.020216 	0.000354 	0.454070 	 0.000320 
0.456098 	0.020525 	0.001034 	0.016240 	0.000240 	0.455864 	 0.000245 
0.459205 	0.019846 	0.000619 	0.015755 	0.000185 	0.458977 	 0.000237 
0.450916 	0.026194 	0.002031 	0.020450 	0.000520 	0.450671 	 0.000243 
0.459186 	0.023929 	0.001769 	0.019071 	0.000338 	0.458920 	 0.000258 
0.460129 	0.021682 	0.000868 	0.017055 	0.000366 	0.459885 	 0.000257 
0.449195 	0.026573 	0.001915 	0.020056 	0.000598 	0.448936 	 0.000275 
0.452658 	0.024666 	0.002545 	0.018661 	0.000392 	0.452434 	 0.000199 
0.459053 	0.026219 	0.001989 	0.020491 	0.000443 	0.458757 	 0.000301 
0.462460 	0.025351 	0.001454 	0.020166 	0.000485 	0.462186 	 0.000286 
0.451949 	0.031212 	0.003131 	0.023053 	0.000819 	0.451654 	 0.000277 
0.441821 	0.035335 	0.004772 	0.025592 	0.001004 	0.441510 	 0.000311 
0.456636 	0.028569 	0.002231 	0.021744 	0.000576 	0.456385 	 0.000277 
0.445725 	0.026080 	0.003321 	0.019524 	0.000384 	0.445483 	 0.000250 
0.458738 	0.026651 	0.002386 	0.019905 	0.000452 	0.458454 	 0.000291 
0.456865 	0.035125 	0.003534 	0.026862 	0.000879 	0.456530 	 0.000331 
0.457592 	0.032600 	0.003836 	0.023393 	0.000850 	0.457265 	 0.000334 
0.455309 	0.031044 	0.004035 	0.022640 	0.000770 	0.455031 	 0.000276 
0.444983 	0.031228 	0.003579 	0.023482 	0.000688 	0.444699 	 0.000282 
0.456678 	0.034871 	0.005824 	0.023408 	0.000892 	0.456399 	 0.000256 
0.447952 	0.036750 	0.003918 	0.028099 	0.000987 	0.447631 	 0.000318 
0.442708 	0.034091 	0.006089 	0.022568 	0.000903 	0.442448 	 0.000262 
0.436461 	0.040309 	0.006494 	0.027575 	0.001141 	0.436151 	 0.000318 
0.429198 	0.037931 	0.004916 	0.027699 	0.001049 	0.428843 	 0.000353 
0.433958 	0.037173 	0.005265 	0.025829 	0.000989 	0.433642 	 0.000325 
0.444140 	0.029681 	0.004000 	0.021196 	0.000464 	0.443850 	 0.000279 
0.436937 	0.040025 	0.006547 	0.026980 	0.001165 	0.436602 	 0.000330 
