di 	gli 	gal 	gos3 	 gos4 
0.418566 	0.027663 	0.016793 	0.018390 	 -0.001852 
0.417349 	0.038872 	0.024080 	0.030446 	 -0.000285 
0.441344 	0.027572 	0.015583 	0.035902 	 -0.001227 
0.417803 	0.051875 	0.031457 	0.052160 	 0.000990 
0.429410 	0.051223 	0.031257 	0.051266 	 0.000135 
0.421336 	0.058159 	0.035944 	0.055231 	 0.000424 
0.407530 	0.061016 	0.037463 	0.059445 	 0.001240 
0.428230 	0.048163 	0.029341 	0.048808 	 0.000003 
0.424595 	0.059807 	0.036953 	0.056148 	 0.000364 
0.417637 	0.058103 	0.035293 	0.056652 	 0.000039 
0.423608 	0.046069 	0.027711 	0.048498 	 0.000178 
0.409583 	0.056602 	0.034517 	0.056739 	 0.001279 
0.412489 	0.057190 	0.034626 	0.056506 	 0.000674 
0.413463 	0.049000 	0.029251 	0.054042 	 0.000671 
0.397753 	0.077520 	0.048247 	0.068896 	 0.001637 
0.414913 	0.060943 	0.036969 	0.064036 	 0.001463 
0.407458 	0.061551 	0.037952 	0.058372 	 0.001418 
0.412576 	0.068429 	0.042246 	0.064050 	 0.001021 
0.402374 	0.063535 	0.039102 	0.060257 	 0.001142 
0.402539 	0.061434 	0.037984 	0.059053 	 0.002055 
0.394792 	0.077173 	0.047888 	0.070477 	 0.002787 
0.401877 	0.070016 	0.043872 	0.061280 	 0.001556 
0.409419 	0.060010 	0.036866 	0.056932 	 0.000545 
0.386359 	0.077006 	0.047774 	0.071490 	 0.003357 
0.405968 	0.065406 	0.039795 	0.065279 	 0.001511 
0.394209 	0.077055 	0.047728 	0.069897 	 0.002204 
0.396685 	0.069384 	0.043137 	0.064612 	 0.002415 
0.391897 	0.069460 	0.042748 	0.065943 	 0.002291 
0.399259 	0.061523 	0.038094 	0.059382 	 0.002266 
0.387412 	0.082353 	0.051457 	0.073802 	 0.003254 
0.388389 	0.076129 	0.047407 	0.070417 	 0.002894 
0.385337 	0.079518 	0.049170 	0.075799 	 0.003587 
0.388900 	0.077169 	0.047778 	0.072534 	 0.002836 
0.390626 	0.073411 	0.045580 	0.068839 	 0.002821 
0.393617 	0.072053 	0.044577 	0.066915 	 0.002286 
0.392419 	0.067334 	0.041728 	0.063215 	 0.002455 
0.385050 	0.074792 	0.046075 	0.072721 	 0.003105 
0.384313 	0.076020 	0.047139 	0.072223 	 0.003165 
0.382752 	0.078543 	0.048595 	0.074645 	 0.003392 
0.372791 	0.087242 	0.054429 	0.078979 	 0.004261 
0.381034 	0.075597 	0.046691 	0.068468 	 0.002740 
0.365229 	0.084051 	0.052419 	0.074576 	 0.004013 
0.368537 	0.099081 	0.061872 	0.088503 	 0.004541 
0.382980 	0.077189 	0.047968 	0.072161 	 0.003366 
0.383212 	0.076480 	0.047824 	0.071808 	 0.003909 
0.377839 	0.082129 	0.051202 	0.076528 	 0.003689 
0.360159 	0.099772 	0.062755 	0.086705 	 0.005210 
0.370308 	0.086291 	0.053940 	0.076446 	 0.003683 
0.371118 	0.085775 	0.053765 	0.076255 	 0.003609 
0.361649 	0.101093 	0.063542 	0.085839 	 0.004616 
0.372826 	0.084518 	0.052366 	0.076093 	 0.003061 
0.361770 	0.084439 	0.052803 	0.075501 	 0.003874 
0.359547 	0.090304 	0.056687 	0.079885 	 0.004327 
0.373843 	0.087488 	0.055682 	0.073407 	 0.004051 
0.362486 	0.088460 	0.055525 	0.077262 	 0.004231 
0.348237 	0.101430 	0.063985 	0.087270 	 0.005413 
0.355689 	0.098819 	0.062412 	0.084623 	 0.005064 
0.354460 	0.097172 	0.061263 	0.083605 	 0.004794 
0.344235 	0.106380 	0.066949 	0.090633 	 0.004957 
0.364735 	0.088457 	0.055589 	0.080086 	 0.005047 
0.357238 	0.094637 	0.059899 	0.082234 	 0.004732 
0.343879 	0.109610 	0.069155 	0.093458 	 0.005732 
0.353818 	0.092749 	0.058230 	0.082254 	 0.004442 
0.357117 	0.090600 	0.056761 	0.081120 	 0.004555 
0.347784 	0.098821 	0.062296 	0.085905 	 0.005632 
0.330345 	0.115822 	0.073478 	0.096791 	 0.006739 
0.346932 	0.091391 	0.057251 	0.080292 	 0.004470 
0.338861 	0.102252 	0.064310 	0.089686 	 0.005278 
0.338915 	0.105812 	0.066860 	0.090329 	 0.006165 
0.337066 	0.109118 	0.069260 	0.092708 	 0.006429 
0.356610 	0.097423 	0.061451 	0.085552 	 0.004619 
0.343293 	0.098966 	0.062367 	0.084864 	 0.005323 
0.345015 	0.106540 	0.067464 	0.092328 	 0.005886 
0.336611 	0.114984 	0.073018 	0.096362 	 0.006156 
0.337529 	0.111333 	0.070494 	0.095040 	 0.006099 
0.346772 	0.097864 	0.061794 	0.084000 	 0.005556 
0.335085 	0.111012 	0.070168 	0.093906 	 0.005737 
0.349636 	0.102622 	0.065032 	0.087354 	 0.005200 
0.347072 	0.098401 	0.062357 	0.083513 	 0.005250 
0.325338 	0.115079 	0.073011 	0.094904 	 0.006428 
0.347948 	0.093406 	0.058904 	0.079840 	 0.004202 
0.327115 	0.107875 	0.068359 	0.089932 	 0.006250 
0.333667 	0.102553 	0.065049 	0.086962 	 0.005924 
0.337241 	0.103382 	0.066200 	0.084506 	 0.006045 
0.341115 	0.094148 	0.059318 	0.082431 	 0.005002 
0.345340 	0.098043 	0.062355 	0.084444 	 0.006216 
0.327192 	0.111955 	0.071344 	0.091665 	 0.006301 
0.329498 	0.101584 	0.064734 	0.085310 	 0.006092 
0.326318 	0.110123 	0.069753 	0.093459 	 0.005885 
0.334288 	0.103439 	0.065613 	0.087293 	 0.005486 
0.341910 	0.098064 	0.062305 	0.083449 	 0.005377 
0.330409 	0.106001 	0.067453 	0.088974 	 0.006031 
0.329872 	0.111066 	0.070460 	0.093851 	 0.006645 
0.324467 	0.120455 	0.076706 	0.100872 	 0.007080 
0.328831 	0.103798 	0.065750 	0.090531 	 0.006309 
0.332907 	0.100130 	0.063570 	0.084683 	 0.005979 
0.320902 	0.121752 	0.077684 	0.099693 	 0.007517 
0.336611 	0.102981 	0.065343 	0.089331 	 0.006115 
0.328083 	0.109995 	0.070448 	0.089354 	 0.006224 
0.321004 	0.115035 	0.073433 	0.095267 	 0.007377 
0.330965 	0.109121 	0.069731 	0.089926 	 0.006088 
0.318354 	0.119964 	0.077044 	0.094013 	 0.006949 
0.318829 	0.116808 	0.074609 	0.095477 	 0.006708 
0.322674 	0.109417 	0.069640 	0.090015 	 0.006377 
0.326030 	0.113850 	0.072639 	0.093780 	 0.005867 
0.322138 	0.109282 	0.069982 	0.089287 	 0.006716 
0.322495 	0.106599 	0.068069 	0.087582 	 0.006263 
0.323840 	0.118072 	0.075742 	0.095861 	 0.006834 
0.317776 	0.114291 	0.073354 	0.092837 	 0.006859 
0.316753 	0.119260 	0.076872 	0.094698 	 0.007157 
0.310475 	0.132455 	0.085621 	0.101973 	 0.007857 
0.323093 	0.121498 	0.077841 	0.098164 	 0.006786 
0.316493 	0.125611 	0.080862 	0.102224 	 0.007968 
0.326089 	0.109752 	0.070323 	0.087955 	 0.006120 
0.317774 	0.111700 	0.071517 	0.090424 	 0.006656 
0.305464 	0.127951 	0.082395 	0.098303 	 0.006915 
0.315377 	0.119963 	0.076756 	0.098096 	 0.007346 
